TotalDisplacement 59859341
MaxDisplacement 3564
NumCells 51382
c51381 1914 -48328
c51379 -13728 -2968
c51377 42174 -30688
c51376 8316 -8008
c51373 43164 11144
c51369 27654 36848
c51366 -37686 31304
c51361 60522 -53872
c51357 10956 39368
c51355 45276 -49336
c51354 11748 10136
c51353 20724 -9520
c51352 -33462 25760
c51350 61710 12152
c51345 -42636 -26152
c51344 43362 51464
c51343 -43890 17696
c51342 -2112 -36232
c51341 -33396 -25144
c51340 -12606 -37240
c51339 40392 7112
c51334 49830 31304
c51333 10362 -32200
c51328 45210 -25648
c51327 38808 -16072
c51326 -8514 7112
c51324 -28380 34832
c51323 21648 -34720
c51322 -13926 -25648
c51321 -54252 -25648
c51318 30954 -448
c51313 -42372 -49840
c51311 25278 40376
c51310 56958 13664
c51308 -36300 -31696
c51307 38280 46928
c51306 14190 18704
c51305 -59598 36848
c51301 27390 4088
c51300 33000 16688
c51298 -20526 -23128
c51296 -6534 -8512
c51293 -14784 1064
c51291 60654 -24640
c51289 11814 30296
c51288 17226 59024
c51286 23760 7112
c51285 -1518 14672
c51284 -40590 -25648
c51282 25146 -18088
c51278 4422 -40264
c51277 -33264 -53368
c51276 59202 -29176
c51275 -31878 -27160
c51274 3168 -14560
c51271 -10362 9632
c51266 -27126 2576
c51264 55638 -55384
c51262 -34848 -55888
c51261 -1716 -18592
c51259 17820 -952
c51257 -264 -17584
c51256 16038 -42280
c51253 17820 60032
c51252 31350 15680
c51251 -18018 60536
c51250 48246 -54376
c51249 -31548 44912
c51246 45672 -16072
c51244 -55836 56000
c51243 -45606 -15568
c51242 31284 -26152
c51239 7062 -5992
c51238 -16368 26768
c51235 59202 15680
c51234 -8646 -39760
c51230 56958 6104
c51229 58806 -34216
c51226 15972 28784
c51225 -21450 -33712
c51224 -15048 -27664
c51221 -21450 35336
c51220 -34782 -48328
c51219 59070 -37240
c51211 21780 10136
c51210 -528 39872
c51205 -4290 57008
c51203 31680 27776
c51194 2310 25760
c51191 59730 48440
c51187 45936 29288
c51185 -4752 -9520
c51184 22110 28784
c51180 -3630 59024
c51178 -37026 -26152
c51177 24090 -9520
c51176 50952 15680
c51175 -17094 8120
c51170 5280 46424
c51169 -35112 -19096
c51166 -29106 31808
c51165 10560 25760
c51163 43296 10640
c51162 -41514 23744
c51159 43890 -3472
c51157 -45474 11144
c51155 -23364 -44296
c51154 -5280 -1960
c51152 61710 42896
c51151 -19338 57008
c51150 -5610 13664
c51145 -30822 -18088
c51144 -8778 -7000
c51143 8316 58016
c51136 -21186 38864
c51135 -4224 -29176
c51132 -8712 9128
c51130 45738 54488
c51129 -45738 -1456
c51128 15378 -19096
c51127 19074 -448
c51126 53592 23744
c51122 43626 -3472
c51119 42042 -24640
c51118 53262 -3472
c51117 -35574 -28672
c51115 -44022 -19600
c51114 -21516 22232
c51113 -39402 -60928
c51103 27522 -23632
c51101 -66 -7000
c51099 -264 -39760
c51097 18150 36344
c51096 50160 24248
c51095 23166 -1960
c51092 49632 -12544
c51090 21186 13664
c51086 33330 55496
c51082 12606 -27160
c51081 -31614 27272
c51080 -12870 11144
c51076 38214 -15568
c51075 59664 -9016
c51073 -31350 48440
c51071 27192 34328
c51070 -4092 39872
c51068 -4158 -52864
c51067 26730 24752
c51066 -46662 -1456
c51064 26004 21224
c51063 21318 -26152
c51056 49698 34832
c51055 2640 -37240
c51054 14850 -1456
c51053 50094 -1960
